[FightGame][2024-03-22 15:16:16/level:2/count:00000000] Main Thread Start
[FightGame][2024-03-22 15:16:26/level:2/count:00000001] Chat: Network Library Initialize
[FightGame][2024-03-22 15:16:34/level:1/count:00000002] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:16:36/level:1/count:00000003] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:16:39/level:1/count:00000004] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:16:42/level:1/count:00000005] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:16:44/level:1/count:00000006] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:16:47/level:1/count:00000007] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:16:49/level:1/count:00000008] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:16:52/level:1/count:00000009] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:16:54/level:1/count:00000010] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:16:57/level:1/count:00000011] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:16:59/level:1/count:00000012] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:02/level:1/count:00000013] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:04/level:1/count:00000014] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:07/level:1/count:00000015] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:09/level:1/count:00000016] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:12/level:1/count:00000017] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:14/level:1/count:00000018] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:17/level:1/count:00000019] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:19/level:1/count:00000020] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:22/level:1/count:00000021] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:24/level:1/count:00000022] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:27/level:1/count:00000023] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:30/level:1/count:00000024] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:32/level:1/count:00000025] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:35/level:1/count:00000026] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
[FightGame][2024-03-22 15:17:37/level:1/count:00000027] Monitor: CLanClient::NetworkInitialize[79]: Socket Connect Error, 10061 (42)
