X : 0, Y : 1, G : 0, H : 2200, F : 2200
X : 0, Y : 2, G : 100, H : 2100, F : 2200
X : 0, Y : 0, G : 100, H : 2300, F : 2400
X : 1, Y : 3, G : 241, H : 1900, F : 2141
X : 2, Y : 3, G : 341, H : 1800, F : 2141
X : 3, Y : 2, G : 482, H : 1800, F : 2282
X : 2, Y : 1, G : 623, H : 2000, F : 2623
X : 3, Y : 0, G : 764, H : 2000, F : 2764
X : 4, Y : 0, G : 864, H : 1900, F : 2764
X : 5, Y : 0, G : 964, H : 1800, F : 2764
X : 6, Y : 0, G : 1064, H : 1700, F : 2764
X : 7, Y : 0, G : 1164, H : 1600, F : 2764
X : 8, Y : 0, G : 1264, H : 1500, F : 2764
X : 9, Y : 0, G : 1364, H : 1400, F : 2764
X : 10, Y : 0, G : 1464, H : 1300, F : 2764
X : 11, Y : 1, G : 1605, H : 1100, F : 2705
X : 12, Y : 2, G : 1746, H : 900, F : 2646
X : 12, Y : 0, G : 1746, H : 1100, F : 2846
X : 13, Y : 0, G : 1846, H : 1000, F : 2846
X : 14, Y : 0, G : 1946, H : 900, F : 2846
X : 14, Y : 1, G : 1987, H : 800, F : 2787
X : 15, Y : 2, G : 2128, H : 600, F : 2728
X : 16, Y : 3, G : 2269, H : 400, F : 2669
X : 16, Y : 2, G : 2228, H : 500, F : 2728
X : 17, Y : 3, G : 2369, H : 300, F : 2669
X : 18, Y : 3, G : 2469, H : 200, F : 2669
X : 4, Y : 0, G : 0, H : 1300, F : 1300
X : 5, Y : 1, G : 141, H : 1100, F : 1241
X : 6, Y : 2, G : 282, H : 900, F : 1182
X : 7, Y : 3, G : 423, H : 700, F : 1123
X : 8, Y : 4, G : 564, H : 500, F : 1064
X : 9, Y : 5, G : 705, H : 300, F : 1005
X : 10, Y : 5, G : 805, H : 200, F : 1005
X : 11, Y : 5, G : 905, H : 100, F : 1005
X : 10, Y : 3, G : 0, H : 6300, F : 6300
X : 11, Y : 4, G : 141, H : 6100, F : 6241
X : 12, Y : 5, G : 282, H : 5900, F : 6182
X : 13, Y : 6, G : 423, H : 5700, F : 6123
X : 14, Y : 7, G : 564, H : 5500, F : 6064
X : 15, Y : 8, G : 705, H : 5300, F : 6005
X : 16, Y : 9, G : 846, H : 5100, F : 5946
X : 17, Y : 10, G : 987, H : 4900, F : 5887
X : 18, Y : 11, G : 1128, H : 4700, F : 5828
X : 19, Y : 12, G : 1269, H : 4500, F : 5769
X : 20, Y : 13, G : 1410, H : 4300, F : 5710
X : 21, Y : 14, G : 1551, H : 4100, F : 5651
X : 22, Y : 15, G : 1692, H : 3900, F : 5592
X : 23, Y : 16, G : 1833, H : 3700, F : 5533
X : 24, Y : 17, G : 1974, H : 3500, F : 5474
X : 25, Y : 18, G : 2115, H : 3300, F : 5415
X : 26, Y : 19, G : 2256, H : 3100, F : 5356
X : 27, Y : 20, G : 2397, H : 2900, F : 5297
X : 28, Y : 21, G : 2538, H : 2700, F : 5238
X : 29, Y : 22, G : 2679, H : 2500, F : 5179
X : 30, Y : 23, G : 2820, H : 2300, F : 5120
X : 31, Y : 24, G : 2961, H : 2100, F : 5061
X : 32, Y : 25, G : 3102, H : 1900, F : 5002
X : 33, Y : 26, G : 3243, H : 1700, F : 4943
X : 34, Y : 27, G : 3384, H : 1500, F : 4884
X : 35, Y : 28, G : 3525, H : 1300, F : 4825
X : 36, Y : 29, G : 3666, H : 1100, F : 4766
X : 37, Y : 30, G : 3807, H : 900, F : 4707
X : 38, Y : 30, G : 3907, H : 800, F : 4707
X : 39, Y : 30, G : 4007, H : 700, F : 4707
X : 40, Y : 30, G : 4107, H : 600, F : 4707
X : 41, Y : 30, G : 4207, H : 500, F : 4707
X : 42, Y : 30, G : 4307, H : 400, F : 4707
X : 43, Y : 30, G : 4407, H : 300, F : 4707
X : 44, Y : 30, G : 4507, H : 200, F : 4707
X : 45, Y : 30, G : 4607, H : 100, F : 4707
X : 10, Y : 3, G : 0, H : 5000, F : 5000
X : 11, Y : 4, G : 141, H : 4800, F : 4941
